edible-poisonous,gill-spacing,stalk-shape,bruised
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,crowded,tapering,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,false
poisonous,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,crowded,tapering,true
poisonous,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,false
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,false
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,true
poisonous,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,false
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,tapering,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,false
edible,crowded,tapering,true
edible,close,enlarging,false
edible,close,enlarging,false
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,false
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
poisonous,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,true
edible,close,enlarging,false
edible,close,enlarging,false
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,false
edible,close,enlarging,false
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,crowded,tapering,false
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,crowded,tapering,false
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,crowded,tapering,true
edible,crowded,tapering,false
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,false
edible,close,enlarging,false
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
poisonous,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,false
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,crowded,tapering,false
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,tapering,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
poisonous,close,enlarging,true
edible,crowded,tapering,false
poisonous,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,crowded,tapering,false
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
poisonous,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,crowded,tapering,false
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
poisonous,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,false
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,crowded,tapering,false
edible,close,enlarging,false
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,tapering,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,close,enlarging,true
edible,crowded,tapering,false
poisonous,close,enlarging,true
edible,crowded,tapering,false
poisonous,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,tapering,true
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,close,enlarging,true
edible,crowded,tapering,true
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,false
poisonous,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,false
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,crowded,tapering,false
edible,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,close,tapering,true
edible,close,enlarging,true
edible,crowded,tapering,false
poisonous,close,enlarging,true
edible,crowded,tapering,false
edible,close,tapering,true
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,close,enlarging,true
edible,crowded,tapering,false
poisonous,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,tapering,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,close,tapering,true
edible,close,tapering,true
edible,crowded,tapering,false
edible,crowded,tapering,false
poisonous,close,enlarging,true
edible,close,tapering,true
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,close,tapering,true
edible,close,tapering,true
edible,crowded,tapering,false
edible,close,tapering,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,tapering,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,tapering,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,false
poisonous,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,close,enlarging,false
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,tapering,true
edible,close,enlarging,true
edible,crowded,tapering,false
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,true
edible,close,enlarging,true
edible,close,tapering,true
poisonous,close,enlarging,true
edible,close,tapering,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,false
edible,crowded,tapering,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,tapering,true
poisonous,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,false
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,tapering,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,crowded,tapering,false
poisonous,close,enlarging,true
edible,close,tapering,true
edible,crowded,tapering,false
edible,close,tapering,true
edible,close,tapering,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,crowded,tapering,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,true
edible,crowded,tapering,false
edible,crowded,tapering,false
poisonous,close,enlarging,true
edible,crowded,tapering,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,tapering,true
edible,close,enlarging,true
edible,crowded,tapering,false
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,tapering,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,false
poisonous,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,crowded,tapering,false
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,close,enlarging,true
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,close,enlarging,false
edible,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,true
edible,crowded,tapering,false
poisonous,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,false
poisonous,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,false
poisonous,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,false
poisonous,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,false
poisonous,close,enlarging,true
edible,close,enlarging,true
edible,crowded,tapering,false
edible,close,enlarging,true
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,false
edible,crowded,tapering,false
